SWEEPS-4 b,SWEEPS-4,1,2006,4.20000000,9.079,1207.70000,,,Hubble Space Telescope
SWEEPS-11 b,SWEEPS-11,1,2006,1.79600000,12.666,3082.82000,,,Hubble Space Telescope
KMT-2021-BLG-1077L c,KMT-2021-BLG-1077L,1,2022,,10.600,79.45710,,,KMTNet
KMT-2021-BLG-1077L b,KMT-2021-BLG-1077L,1,2022,,9.860,69.92225,,,KMTNet
OGLE-2015-BLG-0051L b,OGLE-2015-BLG-0051L,1,2016,,14.000,230.00000,,,OGLE
OGLE-2016-BLG-1093 b,OGLE-2016-BLG-1093,1,2022,,14.000,225.65817,,,OGLE
OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L,2,2014,,8.740,57.00000,,,OGLE
MOA-2020-BLG-135L b,MOA-2020-BLG-135L,1,2022,,3.370,11.30000,,,MOA
OGLE-2018-BLG-1647L b,OGLE-2018-BLG-1647L,1,2022,,13.800,308.29355,,,KMTNet
OGLE-2014-BLG-0319L b,OGLE-2014-BLG-0319L,1,2022,,14.100,181.16219,,,OGLE
MOA-2011-BLG-293L b,MOA-2011-BLG-293L,1,2012,3000.00000000,12.900,1500.00000,,,MOA
KMT-2022-BLG-1013L b,KMT-2022-BLG-1013L,1,2023,,12.100,98.52681,,,KMTNet
OGLE-2018-BLG-0383L b,OGLE-2018-BLG-0383L,1,2022,,2.410,6.40000,,,OGLE
MOA-2008-BLG-310L b,MOA-2008-BLG-310L,1,2009,,5.180,23.40000,,,MOA
KMT-2021-BLG-1554L b,KMT-2021-BLG-1554L,1,2022,,6.900,38.13941,,,KMTNet
OGLE-2018-BLG-1700L b,OGLE-2018-BLG-1700L,2,2020,,12.900,1400.00000,,,OGLE
OGLE-2018-BLG-0677L b,OGLE-2018-BLG-0677L,1,2020,,1.820,3.96000,,,OGLE
MOA-2011-BLG-322L b,MOA-2011-BLG-322L,1,2013,,12.400,3690.00000,,,MOA
OGLE-2017-BLG-1522L b,OGLE-2017-BLG-1522L,1,2018,,14.000,240.00000,,,OGLE
MOA-2020-BLG-208L b,MOA-2020-BLG-208L,1,2023,,7.710,46.00000,,,MOA
OGLE-2018-BLG-1185L b,OGLE-2018-BLG-1185L,1,2021,,2.830,8.40000,,,OGLE
MOA-2011-BLG-028L b,MOA-2011-BLG-028L,1,2016,,5.990,30.00000,,,MOA
KMT-2018-BLG-0748L b,KMT-2018-BLG-0748L,1,2020,,9.010,60.00000,,,KMTNet
OGLE-2017-BLG-1691L b,OGLE-2017-BLG-1691L,1,2022,,3.920,14.62011,,,OGLE
OGLE-2017-BLG-1099L b,OGLE-2017-BLG-1099L,1,2021,,13.100,959.84179,,,OGLE
MOA-2012-BLG-505L b,MOA-2012-BLG-505L,1,2017,,2.480,6.70000,,,MOA
MOA-2011-BLG-262L b,MOA-2011-BLG-262L,1,2014,,4.290,17.00000,,,MOA
KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,1,2022,,7.710,46.00000,,,KMTNet
KMT-2019-BLG-0953L b,KMT-2019-BLG-0953L,1,2022,,4.060,15.50000,,,KMTNet
KMT-2022-BLG-0371L b,KMT-2022-BLG-0371L,1,2023,,10.900,82.63539,,,KMTNet
MOA-bin-29 b,MOA-bin-29,1,2019,,14.100,190.00000,,,MOA
OGLE-2018-BLG-1011L c,OGLE-2018-BLG-1011L,1,2019,,13.200,890.00000,,,OGLE
OGLE-2018-BLG-1011L b,OGLE-2018-BLG-1011L,1,2019,,13.500,570.00000,,,OGLE
MOA-2015-BLG-337L b,MOA-2015-BLG-337L,1,2018,,6.420,33.70000,,,MOA
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,1,2019,,13.300,700.00000,,,KMTNet
KMT-2021-BLG-2010L b,KMT-2021-BLG-2010L,1,2023,,13.800,340.07640,,,KMTNet
KMT-2017-BLG-1003L b,KMT-2017-BLG-1003L,1,2023,,2.130,5.19000,,,KMTNet
OGLE-2015-BLG-1771L b,OGLE-2015-BLG-1771L,1,2020,,14.300,138.00000,,,OGLE
OGLE-2018-BLG-0567L b,OGLE-2018-BLG-0567L,1,2021,,12.300,101.70509,,,OGLE
MOA-2009-BLG-319L b,MOA-2009-BLG-319L,1,2010,,9.640,67.30000,,,MOA
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,1,2020,,14.100,200.00000,,,KMTNet
KMT-2017-BLG-2509L b,KMT-2017-BLG-2509L,1,2021,,13.400,664.26137,,,KMTNet
KMT-2018-BLG-0087L b,KMT-2018-BLG-0087L,1,2022,,10.100,73.10053,,,KMTNet
KMT-2019-BLG-0371L b,KMT-2019-BLG-0371L,1,2021,,12.600,2447.27873,,,KMTNet
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,1,2018,,12.200,4923.00000,,,KMTNet
OGLE-2018-BLG-0516L b,OGLE-2018-BLG-0516L,1,2022,,4.730,20.10000,,,OGLE
OGLE-2019-BLG-0304L b,OGLE-2019-BLG-0304L,2,2021,,14.200,162.09249,,,OGLE
KMT-2021-BLG-0320L b,KMT-2021-BLG-0320L,1,2022,,6.200,31.78284,,,KMTNet
OGLE-2013-BLG-1761L b,OGLE-2013-BLG-1761L,1,2018,,13.200,860.00000,,,OGLE
KMT-2021-BLG-1898L b,KMT-2021-BLG-1898L,1,2022,,14.000,232.01474,,,KMTNet
MOA-2007-BLG-400L b,MOA-2007-BLG-400L,1,2008,,13.500,540.30829,34,,MOA
OGLE-2014-BLG-1760L b,OGLE-2014-BLG-1760L,1,2016,,14.200,180.00000,,,OGLE
